id,position,company,logo,level,openings,closingDate,location,employeeType,salary,experience,ageLimit,education,description,responsibilities,qualifications,preferredFaculties,companyInfo_name,companyInfo_description,companyInfo_employees,companyInfo_industry,companyInfo_website
1,Software Engineer,DesignHub,/designhub.png,Mid Level,5,2025-11-16,"Sydney, Australia",Internship,40000 - 92000,5-10 years,,PhD,We are looking for a Software Engineer to join our team at DesignHub.,Perform key responsibilities related to Software Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in creative or related field. | Strong communication and problem-solving skills.,Mechanical Engineering | Education | Business Administration,DesignHub,DesignHub is a leader in the Creative industry.,500-1000,Creative,https://designhub.com
2,Data Scientist,EduWorld,/eduworld.png,Entry Level,4,2025-09-11,"New York, USA",Part-time,40000 - 99000,5-10 years,30-45 years,Bachelor's degree,We are looking for a Data Scientist to join our team at EduWorld.,Perform key responsibilities related to Data Scientist. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Medicine | Mechanical Engineering | Marketing,EduWorld,EduWorld is a leader in the Education industry.,500-1000,Education,https://eduworld.com
3,UX/UI Designer,DesignHub,/designhub.png,Mid Level,5,2025-10-19,"Berlin, Germany",Full-time,57000 - 62000,1-3 years,25-35 years,Master's degree,We are looking for a UX/UI Designer to join our team at DesignHub.,Perform key responsibilities related to UX/UI Designer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in creative or related field. | Strong communication and problem-solving skills.,Software Engineering | Business Administration | Computer Science,DesignHub,DesignHub is a leader in the Creative industry.,500-1000,Creative,https://designhub.com
4,Cloud Solutions Architect,EduWorld,/eduworld.png,Senior Level,4,2025-09-18,"Toronto, Canada",Internship,60000 - 62000,3-5 years,30-45 years,Bachelor's degree,We are looking for a Cloud Solutions Architect to join our team at EduWorld.,Perform key responsibilities related to Cloud Solutions Architect. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Education | Civil Engineering | Finance,EduWorld,EduWorld is a leader in the Education industry.,100-500,Education,https://eduworld.com
5,Cybersecurity Analyst,Health Plus,/healthplus.png,Senior Level,3,2025-09-18,"Bangkok, Thailand",Contract,38000 - 89000,1-3 years,30-45 years,Master's degree,We are looking for a Cybersecurity Analyst to join our team at Health Plus.,Perform key responsibilities related to Cybersecurity Analyst. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in healthcare or related field. | Strong communication and problem-solving skills.,Business Administration | Finance | Marketing,Health Plus,Health Plus is a leader in the Healthcare industry.,500-1000,Healthcare,https://healthplus.com
6,Machine Learning Engineer,Health Plus,/healthplus.png,Senior Level,3,2025-11-20,"Sydney, Australia",Part-time,60000 - 81000,5-10 years,25-35 years,Master's degree,We are looking for a Machine Learning Engineer to join our team at Health Plus.,Perform key responsibilities related to Machine Learning Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in healthcare or related field. | Strong communication and problem-solving skills.,Mechanical Engineering | Computer Science | Software Engineering,Health Plus,Health Plus is a leader in the Healthcare industry.,1000-5000,Healthcare,https://healthplus.com
7,Product Manager,Tech Corp,/techcorp.png,Entry Level,4,2025-10-03,"London, UK",Contract,52000 - 66000,5-10 years,25-35 years,Master's degree,We are looking for a Product Manager to join our team at Tech Corp.,Perform key responsibilities related to Product Manager. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in technology or related field. | Strong communication and problem-solving skills.,Information Technology | Education | Computer Science,Tech Corp,Tech Corp is a leader in the Technology industry.,500-1000,Technology,https://techcorp.com
8,DevOps Engineer,FinEdge,/finedge.png,Senior Level,1,2025-10-25,"Berlin, Germany",Contract,48000 - 90000,3-5 years,,Bachelor's degree,We are looking for a DevOps Engineer to join our team at FinEdge.,Perform key responsibilities related to DevOps Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in finance or related field. | Strong communication and problem-solving skills.,Information Technology | Computer Science | Mechanical Engineering,FinEdge,FinEdge is a leader in the Finance industry.,100-500,Finance,https://finedge.com
9,QA Automation Engineer,BuildRight,/buildright.png,Senior Level,2,2025-10-07,"Bangkok, Thailand",Internship,45000 - 73000,5-10 years,,PhD,We are looking for a QA Automation Engineer to join our team at BuildRight.,Perform key responsibilities related to QA Automation Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in construction or related field. | Strong communication and problem-solving skills.,Mechanical Engineering | Software Engineering | Finance,BuildRight,BuildRight is a leader in the Construction industry.,100-500,Construction,https://buildright.com
10,Full Stack Developer,FinEdge,/finedge.png,Mid Level,3,2025-10-01,"Sydney, Australia",Part-time,37000 - 91000,3-5 years,25-35 years,Bachelor's degree,We are looking for a Full Stack Developer to join our team at FinEdge.,Perform key responsibilities related to Full Stack Developer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in finance or related field. | Strong communication and problem-solving skills.,Software Engineering | Finance | Information Technology,FinEdge,FinEdge is a leader in the Finance industry.,500-1000,Finance,https://finedge.com
